Date-Time,Load/kW
1/01/2024 0:00,260000
1/01/2024 0:30,262200
1/01/2024 1:00,268600
1/01/2024 1:30,258000
1/01/2024 2:00,251000
1/01/2024 2:30,241400
1/01/2024 3:00,234200
1/01/2024 3:30,226800
1/01/2024 4:00,225000
1/01/2024 4:30,221200
1/01/2024 5:00,220600
1/01/2024 5:30,217400
1/01/2024 6:00,216000
1/01/2024 6:30,210800
1/01/2024 7:00,193400
1/01/2024 7:30,168600
1/01/2024 8:00,149800
1/01/2024 8:30,130000
1/01/2024 9:00,107400
1/01/2024 9:30,80600
1/01/2024 10:00,60200
1/01/2024 10:30,51600
1/01/2024 11:00,53000
1/01/2024 11:30,57000
1/01/2024 12:00,70400
1/01/2024 12:30,113200
1/01/2024 13:00,108800
1/01/2024 13:30,88000
1/01/2024 14:00,133800
1/01/2024 14:30,156600
1/01/2024 15:00,147800
1/01/2024 15:30,147800
1/01/2024 16:00,193400
1/01/2024 16:30,225600
1/01/2024 17:00,224000
1/01/2024 17:30,233200
1/01/2024 18:00,252400
1/01/2024 18:30,260200
1/01/2024 19:00,271800
1/01/2024 19:30,282600
1/01/2024 20:00,293400
1/01/2024 20:30,293800
1/01/2024 21:00,290800
1/01/2024 21:30,285800
1/01/2024 22:00,278800
1/01/2024 22:30,269200
1/01/2024 23:00,262800
1/01/2024 23:30,258400
2/01/2024 0:00,271000
2/01/2024 0:30,273800
2/01/2024 1:00,276600
2/01/2024 1:30,269000
2/01/2024 2:00,259000
2/01/2024 2:30,254000
2/01/2024 3:00,248200
2/01/2024 3:30,243000
2/01/2024 4:00,239000
2/01/2024 4:30,239800
2/01/2024 5:00,243800
2/01/2024 5:30,249400
2/01/2024 6:00,252400
2/01/2024 6:30,251000
2/01/2024 7:00,246800
2/01/2024 7:30,228400
2/01/2024 8:00,212000
2/01/2024 8:30,186400
2/01/2024 9:00,165000
2/01/2024 9:30,139800
2/01/2024 10:00,118200
2/01/2024 10:30,119800
2/01/2024 11:00,110400
2/01/2024 11:30,100800
2/01/2024 12:00,89400
2/01/2024 12:30,89600
2/01/2024 13:00,94400
2/01/2024 13:30,102400
2/01/2024 14:00,109800
2/01/2024 14:30,115800
2/01/2024 15:00,131600
2/01/2024 15:30,151400
2/01/2024 16:00,176800
2/01/2024 16:30,207200
2/01/2024 17:00,240400
2/01/2024 17:30,274800
2/01/2024 18:00,297000
2/01/2024 18:30,321200
2/01/2024 19:00,341600
2/01/2024 19:30,348200
2/01/2024 20:00,344000
2/01/2024 20:30,337000
2/01/2024 21:00,329600
2/01/2024 21:30,320400
2/01/2024 22:00,311600
2/01/2024 22:30,298000
2/01/2024 23:00,289600
2/01/2024 23:30,280200
3/01/2024 0:00,287600
3/01/2024 0:30,295000
3/01/2024 1:00,288200
3/01/2024 1:30,281000
3/01/2024 2:00,272600
3/01/2024 2:30,262800
3/01/2024 3:00,257000
3/01/2024 3:30,251600
3/01/2024 4:00,251200
3/01/2024 4:30,250400
3/01/2024 5:00,252800
3/01/2024 5:30,253600
3/01/2024 6:00,257600
3/01/2024 6:30,259000
3/01/2024 7:00,258600
3/01/2024 7:30,256800
3/01/2024 8:00,268600
3/01/2024 8:30,267800
3/01/2024 9:00,271800
3/01/2024 9:30,268200
3/01/2024 10:00,255200
3/01/2024 10:30,260200
3/01/2024 11:00,249200
3/01/2024 11:30,213400
3/01/2024 12:00,212200
3/01/2024 12:30,207400
3/01/2024 13:00,236400
3/01/2024 13:30,214000
3/01/2024 14:00,225200
3/01/2024 14:30,231400
3/01/2024 15:00,222200
3/01/2024 15:30,230200
3/01/2024 16:00,250200
3/01/2024 16:30,267000
3/01/2024 17:00,265000
3/01/2024 17:30,284000
3/01/2024 18:00,294000
3/01/2024 18:30,299000
3/01/2024 19:00,304000
3/01/2024 19:30,307600
3/01/2024 20:00,308800
3/01/2024 20:30,309800
3/01/2024 21:00,307400
3/01/2024 21:30,301200
3/01/2024 22:00,295400
3/01/2024 22:30,290600
3/01/2024 23:00,285600
3/01/2024 23:30,283000
4/01/2024 0:00,296600
4/01/2024 0:30,297800
4/01/2024 1:00,300200
4/01/2024 1:30,293600
4/01/2024 2:00,283400
4/01/2024 2:30,276400
4/01/2024 3:00,269600
4/01/2024 3:30,266400
4/01/2024 4:00,262600
4/01/2024 4:30,261000
4/01/2024 5:00,265400
4/01/2024 5:30,264600
4/01/2024 6:00,273800
4/01/2024 6:30,280200
4/01/2024 7:00,294200
4/01/2024 7:30,294600
4/01/2024 8:00,294000
4/01/2024 8:30,289000
4/01/2024 9:00,276600
4/01/2024 9:30,265200
4/01/2024 10:00,233600
4/01/2024 10:30,242000
4/01/2024 11:00,253000
4/01/2024 11:30,231200
4/01/2024 12:00,196800
4/01/2024 12:30,184400
4/01/2024 13:00,163400
4/01/2024 13:30,160200
4/01/2024 14:00,162600
4/01/2024 14:30,184000
4/01/2024 15:00,201600
4/01/2024 15:30,214600
4/01/2024 16:00,215400
4/01/2024 16:30,251200
4/01/2024 17:00,294400
4/01/2024 17:30,318400
4/01/2024 18:00,343000
4/01/2024 18:30,356200
4/01/2024 19:00,357600
4/01/2024 19:30,353600
4/01/2024 20:00,356200
4/01/2024 20:30,355200
4/01/2024 21:00,351000
4/01/2024 21:30,340800
4/01/2024 22:00,330600
4/01/2024 22:30,320000
4/01/2024 23:00,311000
4/01/2024 23:30,303400
5/01/2024 0:00,313600
5/01/2024 0:30,309200
5/01/2024 1:00,307000
5/01/2024 1:30,295800
5/01/2024 2:00,284400
5/01/2024 2:30,282200
5/01/2024 3:00,272000
5/01/2024 3:30,265200
5/01/2024 4:00,263000
5/01/2024 4:30,262800
5/01/2024 5:00,266200
5/01/2024 5:30,270600
5/01/2024 6:00,277200
5/01/2024 6:30,279800
5/01/2024 7:00,287200
5/01/2024 7:30,266600
5/01/2024 8:00,249800
5/01/2024 8:30,232800
5/01/2024 9:00,212600
5/01/2024 9:30,191200
5/01/2024 10:00,201400
5/01/2024 10:30,188600
5/01/2024 11:00,175600
5/01/2024 11:30,168600
